               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.012859,            0.008895,          0.00059534,             0.55535,              0.7183,             0.62568,             0.39635,            0.030488,            0.020075,            0.011298,               7e-05,               7e-05,             0.09937
                   1,            0.012779,           0.0088916,          0.00046172,             0.55327,             0.71615,             0.62531,             0.39473,            0.030404,            0.020166,            0.011246,             0.00015,             0.00015,             0.09865
                   2,            0.013289,           0.0087231,          0.00085472,              0.5532,             0.72478,             0.62756,             0.39912,             0.03026,            0.020223,             0.01122,             0.00023,             0.00023,             0.09793
                   3,            0.013239,           0.0095384,          0.00049919,             0.53055,             0.74966,             0.62414,             0.39525,            0.030338,            0.020335,            0.011202,             0.00031,             0.00031,             0.09721
                   4,            0.012933,           0.0088627,          0.00066656,             0.56791,             0.69483,             0.62514,             0.39435,            0.030538,            0.020404,             0.01119,             0.00039,             0.00039,             0.09649
                   5,            0.012683,           0.0088934,          0.00058088,             0.56668,             0.69734,             0.62091,             0.39624,            0.030325,            0.020543,            0.011176,          0.00046999,          0.00046999,             0.09577
                   6,            0.013622,           0.0088236,          0.00086335,             0.52348,             0.75565,             0.61848,             0.39047,            0.030433,            0.020625,            0.011261,          0.00054998,          0.00054998,             0.09505
                   7,            0.012485,           0.0087381,          0.00041927,             0.53518,             0.73992,             0.61873,             0.39067,            0.030524,            0.020754,            0.011195,          0.00062998,          0.00062998,             0.09433
                   8,            0.012255,             0.00868,          0.00074735,             0.53175,             0.73866,             0.62051,             0.38945,            0.030518,            0.020767,            0.011143,          0.00070997,          0.00070997,             0.09361
                   9,            0.012582,           0.0081617,          0.00047957,             0.54403,             0.72176,               0.618,             0.38517,            0.030841,            0.021004,            0.011176,          0.00078995,          0.00078995,             0.09289
                  10,            0.013241,            0.009332,          0.00081297,              0.5509,             0.72077,             0.61613,             0.38601,            0.031041,               0.021,            0.011192,          0.00086993,          0.00086993,             0.09217
                  11,            0.013304,           0.0090811,          0.00094839,             0.53382,               0.742,             0.61473,             0.38871,             0.03079,            0.021262,            0.011281,          0.00094991,          0.00094991,             0.09145
                  12,            0.013498,           0.0094093,          0.00047394,             0.52733,             0.71745,             0.61125,             0.38407,             0.03062,             0.02161,            0.011302,           0.0010299,           0.0010299,             0.09073
                  13,            0.012342,           0.0092257,          0.00074574,             0.55969,             0.66772,             0.60825,             0.38776,            0.030501,            0.021548,            0.011305,           0.0011099,           0.0011099,             0.09001
                  14,            0.012535,            0.009432,          0.00064413,             0.53222,              0.7187,             0.61293,             0.38735,            0.030589,            0.021346,            0.011282,           0.0011898,           0.0011898,             0.08929
                  15,             0.01225,           0.0093987,          0.00044696,             0.53575,             0.72326,             0.61646,             0.39395,             0.03021,            0.021036,            0.011252,           0.0012698,           0.0012698,             0.08857
                  16,            0.012726,            0.008422,          0.00053598,             0.53733,             0.72307,             0.61384,             0.38978,            0.030552,            0.021106,            0.011007,           0.0013497,           0.0013497,             0.08785
                  17,            0.012366,           0.0085317,           0.0005823,             0.54565,             0.72384,             0.61637,             0.39702,            0.030203,            0.020835,            0.011109,           0.0014297,           0.0014297,             0.08713
                  18,            0.013109,           0.0094751,          0.00055588,             0.54599,             0.70434,             0.61417,             0.38843,            0.030765,            0.020792,            0.011292,           0.0015096,           0.0015096,             0.08641
                  19,            0.013649,            0.009008,          0.00063326,             0.55484,             0.69836,              0.6163,             0.38953,            0.030778,            0.020591,            0.011163,           0.0015896,           0.0015896,             0.08569
                  20,            0.012797,           0.0081265,          0.00052436,             0.52133,             0.74393,               0.614,             0.38643,            0.030854,            0.020985,            0.011244,           0.0016695,           0.0016695,            0.084969
                  21,            0.012652,           0.0083948,          0.00049672,             0.53797,             0.69194,             0.60984,             0.38754,            0.030684,            0.021441,            0.011379,           0.0017494,           0.0017494,            0.084249
                  22,            0.012474,           0.0086287,          0.00071348,             0.56649,             0.66515,             0.60247,             0.38623,            0.030632,            0.021291,             0.01158,           0.0018293,           0.0018293,            0.083529
                  23,            0.012701,           0.0090834,           0.0005398,             0.56405,              0.6828,             0.60719,             0.38539,            0.030842,            0.020966,            0.011452,           0.0019092,           0.0019092,            0.082809
                  24,             0.01307,           0.0088317,          0.00061727,             0.55747,             0.66899,              0.6044,             0.38261,            0.030694,            0.021451,            0.011482,           0.0019891,           0.0019891,            0.082089
                  25,            0.012627,           0.0086921,          0.00069994,             0.52823,             0.71664,              0.6084,             0.38351,            0.030866,            0.021117,            0.011658,            0.002069,            0.002069,            0.081369
                  26,            0.012587,           0.0088933,          0.00050065,             0.61419,             0.60356,             0.60482,             0.38454,             0.03054,            0.021079,            0.011618,           0.0021489,           0.0021489,            0.080649
                  27,            0.012078,           0.0086592,          0.00049468,             0.54314,             0.67573,             0.59906,             0.38038,            0.030558,            0.021168,            0.011636,           0.0022288,           0.0022288,            0.079929
                  28,            0.012805,           0.0088025,          0.00075918,             0.52255,             0.70151,             0.60419,             0.38371,            0.030971,            0.021378,            0.011681,           0.0023086,           0.0023086,            0.079209
                  29,            0.013048,           0.0087034,          0.00083118,             0.52148,              0.6908,             0.60508,             0.38047,            0.030941,            0.021895,            0.011768,           0.0023885,           0.0023885,            0.078488
                  30,             0.01284,           0.0083884,          0.00037081,             0.59107,             0.62031,             0.60785,             0.38449,            0.030669,            0.021556,            0.011724,           0.0024683,           0.0024683,            0.077768
                  31,            0.012947,           0.0085923,          0.00064937,             0.53116,             0.66845,             0.59535,             0.37704,            0.030933,            0.022395,            0.011777,           0.0025481,           0.0025481,            0.077048
                  32,            0.013961,           0.0085177,          0.00084883,             0.54346,             0.67059,             0.58997,             0.37349,            0.030898,            0.022576,            0.011412,           0.0026279,           0.0026279,            0.076328
                  33,            0.013615,             0.00896,          0.00073181,             0.53257,             0.66946,             0.59295,             0.37804,            0.030543,            0.021952,            0.010813,           0.0027077,           0.0027077,            0.075608
                  34,            0.013525,           0.0082339,          0.00044156,             0.54593,             0.66303,              0.5904,             0.37296,            0.030988,            0.022229,            0.010781,           0.0027875,           0.0027875,            0.074888
                  35,            0.012802,           0.0084905,          0.00045981,              0.5902,             0.63446,              0.6077,             0.38598,            0.030643,            0.021026,            0.010879,           0.0028673,           0.0028673,            0.074167
                  36,             0.01309,           0.0088108,          0.00050924,             0.58306,              0.6473,             0.60464,             0.38141,            0.030408,            0.021189,            0.011134,           0.0029471,           0.0029471,            0.073447
                  37,            0.012354,           0.0082517,          0.00038579,             0.54388,             0.68749,             0.60173,              0.3799,            0.030852,            0.021078,            0.011479,           0.0030268,           0.0030268,            0.072727
                  38,            0.013112,           0.0080734,          0.00049359,             0.56594,             0.64177,             0.59985,             0.37887,            0.030982,            0.022029,            0.011619,           0.0031066,           0.0031066,            0.072007
                  39,            0.013264,           0.0084437,          0.00073301,             0.57347,             0.65652,             0.60159,              0.3781,             0.03109,             0.02163,            0.011322,           0.0031863,           0.0031863,            0.071286
                  40,            0.012763,           0.0084943,          0.00058005,             0.54848,             0.66799,             0.60122,             0.37927,            0.030718,            0.021125,            0.011313,            0.003266,            0.003266,            0.070566
                  41,            0.013633,           0.0090775,          0.00084033,             0.62134,             0.60061,                0.59,             0.37658,            0.030814,            0.021288,            0.010943,           0.0033457,           0.0033457,            0.069846
                  42,            0.013406,           0.0089766,          0.00066789,             0.50795,             0.69592,             0.59329,             0.37589,            0.030547,            0.021245,            0.011005,           0.0034254,           0.0034254,            0.069125
                  43,            0.013029,           0.0088891,          0.00070238,             0.55737,             0.63757,             0.58726,             0.37489,            0.030633,            0.021694,            0.010993,            0.003505,            0.003505,            0.068405
                  44,            0.013686,           0.0088027,          0.00048458,             0.61596,             0.57825,             0.58878,             0.37556,            0.030676,            0.021541,             0.01067,           0.0035847,           0.0035847,            0.067685
                  45,            0.012239,           0.0090925,          0.00044095,              0.6192,             0.59619,             0.59119,             0.37182,            0.030713,            0.021947,            0.011014,           0.0036643,           0.0036643,            0.066964
                  46,            0.013213,           0.0080494,          0.00078161,             0.64608,             0.58951,             0.60497,             0.37949,            0.030993,            0.021311,            0.010508,           0.0037439,           0.0037439,            0.066244
                  47,            0.014275,           0.0084272,          0.00072989,             0.54159,             0.68384,             0.59596,             0.37619,            0.031062,            0.021944,            0.010754,           0.0038235,           0.0038235,            0.065524
                  48,            0.013126,           0.0086966,          0.00063275,              0.5778,             0.63783,             0.59346,             0.37306,            0.030977,            0.021964,            0.010991,           0.0039031,           0.0039031,            0.064803
                  49,            0.013631,           0.0082277,          0.00057223,               0.656,             0.57401,             0.59154,             0.37893,            0.030764,            0.021378,            0.011556,           0.0039826,           0.0039826,            0.064083
                  50,            0.012939,           0.0085794,          0.00053907,              0.5815,             0.65415,              0.6046,             0.38086,            0.030391,            0.020774,            0.010873,           0.0040622,           0.0040622,            0.063362
                  51,            0.012633,           0.0083624,          0.00042956,              0.5833,             0.65836,              0.6072,             0.38097,            0.030567,            0.020606,            0.011068,           0.0041417,           0.0041417,            0.062642
                  52,            0.013627,           0.0095967,          0.00050995,             0.54553,             0.69257,             0.60565,             0.37823,            0.030657,            0.020341,            0.011343,           0.0042212,           0.0042212,            0.061921
                  53,            0.013186,           0.0088483,           0.0003732,             0.58225,             0.62685,              0.5899,             0.37295,            0.030553,            0.021404,            0.011422,           0.0043007,           0.0043007,            0.061201
                  54,            0.012627,           0.0084364,          0.00060275,             0.59571,             0.61925,             0.58734,             0.36986,            0.030906,            0.022202,            0.011224,           0.0043802,           0.0043802,             0.06048
                  55,            0.013144,           0.0086893,          0.00045571,             0.55286,              0.6489,             0.58591,             0.37618,            0.030597,            0.021812,            0.011027,           0.0044596,           0.0044596,             0.05976
                  56,            0.013589,           0.0090547,          0.00062615,             0.60241,             0.63583,             0.60209,             0.38313,            0.030428,            0.020988,            0.011129,            0.004539,            0.004539,            0.059039
