mAP,Precision,recall,f1-score
0.4436,0.55,0..32,0.4
0.7238,0.79,0.61,0.69
0.689,0.68,0.64,0.66
0.7381,0.81,0.65,0.72
0.7382,0.81,0.66,0.73
0.7384,0.84,0.64,0.72
0.7523,0.82,0.68,0.75
0.7507,0.84,0.67,0.74
0.7449,0.83,0.66,0.74
0.7465,0.83,0.66,0.73
0.7492,0.83,0.66,0.73
0.7391,0.83,0.65,0.73
