               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.012811,           0.0087981,          0.00055434,             0.55488,             0.71785,             0.62261,             0.39553,            0.030536,            0.020161,            0.011348,               7e-05,               7e-05,             0.09937
                   1,            0.012754,           0.0087916,          0.00045234,             0.55122,             0.70978,             0.62227,             0.39291,             0.03044,            0.020289,            0.011279,             0.00015,             0.00015,             0.09865
                   2,            0.013179,           0.0086222,          0.00081618,             0.53048,             0.74686,             0.62116,             0.39548,            0.030296,            0.020354,             0.01126,             0.00023,             0.00023,             0.09793
                   3,            0.013133,           0.0094946,          0.00049348,             0.53109,             0.74163,              0.6202,             0.39679,            0.030357,            0.020458,            0.011243,             0.00031,             0.00031,             0.09721
                   4,            0.012869,           0.0088259,          0.00066108,             0.56096,             0.70949,             0.62311,             0.39388,            0.030543,             0.02052,            0.011233,             0.00039,             0.00039,             0.09649
                   5,             0.01255,           0.0088484,          0.00058887,              0.5529,             0.71478,             0.61782,             0.39475,            0.030323,            0.020633,            0.011215,          0.00046999,          0.00046999,             0.09577
                   6,            0.013615,            0.008805,          0.00085998,             0.53604,              0.7373,             0.61735,             0.39216,            0.030442,            0.020723,            0.011307,          0.00054999,          0.00054999,             0.09505
                   7,            0.012485,             0.00874,          0.00041362,             0.52826,             0.74562,             0.61722,             0.39049,            0.030562,            0.020853,            0.011252,          0.00062998,          0.00062998,             0.09433
                   8,            0.012433,           0.0086997,          0.00074496,             0.57987,             0.67043,             0.61915,             0.39152,            0.030566,             0.02087,            0.011198,          0.00070997,          0.00070997,             0.09361
                   9,            0.012627,           0.0081558,          0.00047644,             0.54564,             0.71849,             0.61632,             0.38533,            0.030817,            0.021084,            0.011236,          0.00078995,          0.00078995,             0.09289
                  10,             0.01318,           0.0093165,          0.00081713,             0.54626,              0.7227,             0.61565,             0.38558,            0.030922,            0.021072,             0.01125,          0.00086994,          0.00086994,             0.09217
                  11,            0.013152,           0.0090478,          0.00094476,             0.53006,             0.73939,             0.61299,             0.38799,            0.030785,            0.021304,            0.011333,          0.00094992,          0.00094992,             0.09145
                  12,            0.013629,           0.0094298,          0.00047308,             0.54169,             0.70429,             0.61057,              0.3846,            0.030604,            0.021688,            0.011351,           0.0010299,           0.0010299,             0.09073
                  13,            0.012425,           0.0092346,          0.00074414,             0.52592,             0.71089,             0.60797,             0.38818,            0.030508,            0.021611,            0.011359,           0.0011099,           0.0011099,             0.09001
                  14,             0.01244,            0.009399,          0.00063857,             0.52422,             0.72962,             0.61173,             0.38818,            0.030742,            0.021409,            0.011338,           0.0011898,           0.0011898,             0.08929
                  15,            0.012289,           0.0094073,          0.00044565,             0.56621,             0.68107,             0.61555,             0.39239,            0.030391,            0.021091,            0.011309,           0.0012698,           0.0012698,             0.08857
                  16,            0.012568,           0.0083762,          0.00053487,             0.54281,             0.71419,             0.61335,             0.38962,            0.030704,            0.021165,            0.011079,           0.0013497,           0.0013497,             0.08785
                  17,            0.012755,           0.0086068,          0.00057486,             0.54388,             0.72566,             0.61601,             0.39529,            0.030222,            0.020934,            0.011173,           0.0014297,           0.0014297,             0.08713
                  18,            0.013136,           0.0094841,          0.00055103,             0.53869,             0.71707,              0.6151,             0.38822,            0.030617,             0.02083,             0.01135,           0.0015096,           0.0015096,             0.08641
                  19,             0.01335,           0.0089589,           0.0006298,              0.5326,              0.7275,              0.6149,               0.389,            0.030713,             0.02058,            0.011215,           0.0015896,           0.0015896,             0.08569
                  20,             0.01258,           0.0080827,          0.00053371,              0.5487,             0.70388,             0.61469,             0.38779,            0.030913,            0.020953,            0.011296,           0.0016695,           0.0016695,             0.08497
                  21,            0.012661,           0.0083966,          0.00049549,             0.55698,              0.6743,             0.60978,             0.39036,            0.030699,            0.021464,            0.011412,           0.0017494,           0.0017494,            0.084249
                  22,            0.012814,           0.0087066,           0.0007143,             0.56408,             0.65946,             0.59832,             0.38643,            0.030695,            0.021306,            0.011652,           0.0018294,           0.0018294,            0.083529
                  23,            0.012867,           0.0091215,          0.00053561,             0.56448,              0.6826,             0.60652,             0.38514,            0.030647,             0.02103,            0.011558,           0.0019093,           0.0019093,            0.082809
                  24,             0.01258,            0.008713,          0.00061805,               0.554,             0.68181,             0.60659,             0.38408,            0.030726,            0.021414,            0.011589,           0.0019892,           0.0019892,            0.082089
                  25,            0.012574,            0.008678,          0.00069918,             0.53045,             0.70345,             0.60763,             0.38181,            0.030833,            0.021155,            0.011746,           0.0020691,           0.0020691,            0.081369
                  26,            0.012675,           0.0089104,          0.00050309,             0.61889,             0.60072,             0.60433,              0.3876,             0.03055,             0.02117,            0.011665,           0.0021489,           0.0021489,            0.080649
                  27,            0.012183,             0.00867,          0.00049282,             0.54053,             0.67771,             0.59691,             0.37897,            0.030569,            0.021289,             0.01168,           0.0022288,           0.0022288,            0.079929
                  28,            0.012719,           0.0087771,          0.00076229,             0.52118,             0.69995,              0.6047,             0.37942,            0.031234,              0.0214,            0.011748,           0.0023087,           0.0023087,            0.079209
                  29,             0.01356,           0.0088243,          0.00082577,             0.51978,             0.69329,             0.60411,             0.38018,            0.030886,            0.021909,            0.011803,           0.0023885,           0.0023885,            0.078489
                  30,            0.012854,           0.0083974,          0.00036924,             0.59243,              0.6162,             0.60775,             0.38589,            0.030476,             0.02154,             0.01176,           0.0024684,           0.0024684,            0.077768
                  31,            0.013101,           0.0086375,          0.00065689,             0.52812,             0.66924,             0.59565,             0.37636,            0.030931,            0.022451,            0.011743,           0.0025482,           0.0025482,            0.077048
                  32,            0.013927,           0.0085174,          0.00085396,             0.53614,             0.66694,              0.5909,             0.37479,            0.030889,            0.022533,            0.011441,            0.002628,            0.002628,            0.076328
                  33,            0.013657,           0.0089638,          0.00072673,             0.58182,             0.62344,             0.59325,             0.37745,            0.030532,            0.021847,              0.0108,           0.0027079,           0.0027079,            0.075608
                  34,            0.013344,           0.0081861,          0.00044065,             0.54182,             0.66965,             0.58912,             0.37115,            0.031025,             0.02225,            0.010782,           0.0027877,           0.0027877,            0.074888
                  35,            0.012489,           0.0084175,          0.00046228,             0.58877,             0.63768,             0.60819,             0.38487,            0.030565,            0.021094,             0.01094,           0.0028675,           0.0028675,            0.074167
                  36,            0.012994,           0.0087906,          0.00050444,             0.57544,             0.64227,             0.60107,             0.37793,             0.03054,            0.021374,            0.011168,           0.0029472,           0.0029472,            0.073447
                  37,            0.012422,           0.0082465,          0.00038526,              0.5529,             0.67876,             0.59951,              0.3807,            0.030846,            0.021243,            0.011517,            0.003027,            0.003027,            0.072727
                  38,            0.013014,           0.0080578,          0.00049343,              0.5646,             0.64417,              0.5982,             0.37989,            0.031005,            0.022108,            0.011705,           0.0031067,           0.0031067,            0.072007
                  39,            0.012997,           0.0083928,          0.00074255,             0.57529,             0.65417,             0.60206,             0.37762,            0.031127,            0.021666,            0.011374,           0.0031865,           0.0031865,            0.071286
                  40,             0.01295,           0.0085216,          0.00057988,             0.56347,             0.64926,             0.60222,             0.38004,            0.030719,            0.021156,            0.011234,           0.0032662,           0.0032662,            0.070566
                  41,            0.013616,           0.0090668,          0.00084352,             0.60737,             0.60402,             0.58932,             0.37673,            0.030758,            0.021319,            0.010864,           0.0033459,           0.0033459,            0.069846
                  42,            0.013509,           0.0090036,           0.0006691,             0.50273,             0.70358,             0.59219,             0.37569,            0.030498,            0.021318,            0.011012,           0.0034256,           0.0034256,            0.069126
                  43,            0.012985,           0.0088865,          0.00070274,              0.5639,             0.62371,             0.58557,             0.37097,            0.030698,            0.021759,            0.010983,           0.0035053,           0.0035053,            0.068405
                  44,            0.013642,           0.0087923,          0.00049213,             0.61747,             0.57776,             0.59117,             0.37706,            0.030678,            0.021604,            0.010664,            0.003585,            0.003585,            0.067685
                  45,             0.01228,           0.0090977,          0.00043696,             0.62669,             0.58841,             0.59111,             0.37063,            0.030695,            0.021974,            0.010945,           0.0036646,           0.0036646,            0.066965
                  46,            0.012768,           0.0079939,          0.00076077,             0.54426,             0.68632,             0.60737,             0.38234,            0.030928,            0.021148,            0.010433,           0.0037442,           0.0037442,            0.066244
                  47,             0.01443,            0.008458,          0.00073757,             0.57617,             0.64558,             0.59707,             0.37824,               0.031,            0.021959,            0.010746,           0.0038239,           0.0038239,            0.065524
                  48,            0.013027,           0.0086837,          0.00063622,             0.55676,             0.65863,              0.5937,              0.3736,            0.031012,            0.022033,            0.011032,           0.0039035,           0.0039035,            0.064803
                  49,            0.013609,           0.0082274,          0.00057084,             0.63485,             0.58787,             0.59307,             0.37954,            0.030724,            0.021371,            0.011637,           0.0039831,           0.0039831,            0.064083
                  50,            0.012932,           0.0085719,          0.00053801,             0.58128,             0.64659,             0.60286,             0.38207,              0.0303,            0.020772,            0.010868,           0.0040626,           0.0040626,            0.063363
                  51,            0.013003,           0.0084663,          0.00042698,             0.58753,             0.64421,             0.60779,             0.38382,            0.030621,            0.020662,            0.011011,           0.0041422,           0.0041422,            0.062642
                  52,            0.013777,           0.0096134,          0.00051175,             0.53868,             0.69405,             0.60531,             0.38242,            0.030417,            0.020218,            0.011235,           0.0042217,           0.0042217,            0.061922
                  53,             0.01295,           0.0088266,          0.00037991,             0.61202,             0.60318,             0.59246,             0.38123,            0.030339,            0.021043,            0.011424,           0.0043012,           0.0043012,            0.061201
