               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.013727,            0.010102,          0.00096472,              0.6113,             0.67265,             0.62918,             0.38923,            0.031276,            0.018809,            0.011084,               7e-05,               7e-05,             0.09937
                   1,            0.014506,            0.010243,          0.00057106,             0.60656,             0.67397,             0.62994,             0.39104,            0.031148,            0.018871,            0.010987,             0.00015,             0.00015,             0.09865
                   2,            0.014437,           0.0098422,           0.0008155,             0.60411,             0.67397,             0.62728,             0.39061,            0.031022,            0.018993,            0.010983,          0.00022999,          0.00022999,             0.09793
                   3,            0.014263,            0.010558,          0.00074644,             0.60486,             0.66449,             0.62261,             0.38916,            0.031025,            0.019119,            0.011036,          0.00030998,          0.00030998,             0.09721
                   4,            0.014522,           0.0098762,          0.00084643,             0.59159,             0.67394,             0.62493,             0.39054,             0.03115,            0.019194,            0.011018,          0.00038994,          0.00038994,             0.09649
                   5,            0.014125,           0.0099199,          0.00089069,              0.5901,             0.67283,             0.62516,             0.39351,            0.031089,            0.019258,            0.011019,           0.0004699,           0.0004699,             0.09577
                   6,            0.015661,           0.0099241,           0.0009798,             0.59335,             0.66835,             0.62446,             0.39218,            0.031163,            0.019337,            0.011062,          0.00054982,          0.00054982,             0.09505
                   7,             0.01354,           0.0097266,          0.00056198,             0.59848,             0.64891,             0.62034,             0.38879,            0.031232,            0.019589,            0.010958,          0.00062973,          0.00062973,             0.09433
                   8,            0.013848,           0.0098727,          0.00081816,             0.58777,             0.66872,             0.62013,             0.39127,            0.031027,            0.019458,            0.010998,           0.0007096,           0.0007096,             0.09361
                   9,             0.01343,            0.008963,          0.00058986,             0.61225,             0.65209,             0.61708,              0.3851,             0.03154,            0.019672,            0.011132,          0.00078943,          0.00078943,            0.092889
