               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.013058,           0.0090565,          0.00064828,             0.55262,             0.72553,             0.63069,             0.39691,            0.030367,            0.020008,             0.01117,               7e-05,               7e-05,             0.09937
                   1,            0.012961,           0.0090643,          0.00047466,             0.59906,             0.66181,             0.62833,             0.39781,            0.030289,            0.020075,            0.011171,             0.00015,             0.00015,             0.09865
                   2,             0.01355,           0.0088879,           0.0009123,               0.602,             0.66572,             0.62857,             0.39829,            0.030171,            0.020121,            0.011144,             0.00023,             0.00023,             0.09793
                   3,            0.013244,           0.0095664,          0.00050636,             0.59516,             0.66884,             0.62673,             0.39708,            0.030263,            0.020231,            0.011119,             0.00031,             0.00031,             0.09721
                   4,            0.012958,            0.008895,          0.00067228,               0.596,             0.66304,             0.62702,             0.39483,            0.030457,            0.020325,            0.011103,          0.00038999,          0.00038999,             0.09649
                   5,            0.012711,           0.0089453,            0.000574,             0.56806,             0.69427,             0.62189,             0.39518,            0.030288,            0.020466,            0.011088,          0.00046998,          0.00046998,             0.09577
                   6,             0.01367,           0.0088446,          0.00086603,             0.52467,             0.75919,             0.62083,             0.39109,            0.030425,            0.020562,            0.011173,          0.00054997,          0.00054997,             0.09505
                   7,             0.01248,           0.0087408,          0.00042669,             0.54233,             0.73754,             0.62155,             0.39152,            0.030516,            0.020689,            0.011115,          0.00062995,          0.00062995,             0.09433
                   8,            0.012289,           0.0086949,          0.00075214,             0.53652,             0.73279,             0.62148,             0.38992,            0.030514,            0.020719,            0.011068,          0.00070993,          0.00070993,             0.09361
                   9,            0.012618,           0.0081835,          0.00048326,             0.53933,             0.72739,             0.61677,             0.38532,            0.030884,            0.020949,            0.011111,           0.0007899,           0.0007899,             0.09289
                  10,            0.013236,           0.0093356,          0.00081022,             0.54529,             0.71966,             0.61654,             0.38561,            0.030813,            0.020973,            0.011138,          0.00086987,          0.00086987,             0.09217
