               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10606,            0.026142,            0.053131,           0.0015951,             0.33676,           0.0018224,          0.00033433,            0.094937,            0.019232,            0.052294,               7e-05,               7e-05,             0.09937
                   1,            0.095346,            0.029598,            0.053192,          0.00026139,              0.1147,          0.00018977,          3.7718e-05,            0.078754,            0.021052,            0.052069,             0.00015,             0.00015,             0.09865
                   2,            0.089514,            0.032095,            0.053159,          0.00032054,             0.13679,          0.00028013,          5.4203e-05,             0.07278,            0.021734,            0.051836,             0.00023,             0.00023,             0.09793
                   3,            0.086699,            0.033555,            0.053027,          0.00032054,             0.13679,          0.00027076,          5.2682e-05,              0.0705,            0.021929,            0.051623,          0.00030999,          0.00030999,             0.09721
                   4,            0.085669,            0.031166,            0.052184,          0.00027752,             0.12073,          0.00024248,          4.9451e-05,            0.069622,            0.021988,            0.051422,          0.00038999,          0.00038999,             0.09649
                   5,            0.085045,            0.032616,            0.052093,          0.00034743,             0.14683,          0.00045623,          7.8809e-05,            0.069432,            0.021969,            0.051244,          0.00046997,          0.00046997,             0.09577
                   6,            0.085138,            0.031309,            0.052154,          0.00035281,             0.14884,           0.0003455,          6.6009e-05,            0.068831,            0.022017,            0.051078,          0.00054996,          0.00054996,             0.09505
                   7,            0.083935,            0.032449,             0.05171,          0.00035893,             0.14884,          0.00033469,          6.4323e-05,            0.069017,             0.02194,            0.050903,          0.00062993,          0.00062993,             0.09433
                   8,            0.083959,            0.031219,            0.051816,          0.00042177,              0.1517,          0.00036359,          7.7002e-05,            0.068816,            0.021911,            0.050753,           0.0007099,           0.0007099,             0.09361
                   9,            0.083142,            0.031243,            0.051425,          0.00053926,             0.16374,           0.0010005,          0.00028836,            0.068897,            0.021895,            0.050635,          0.00078986,          0.00078986,             0.09289
                  10,            0.083865,            0.034287,            0.051019,           0.0004632,             0.15503,          0.00060833,          0.00014105,            0.069261,            0.021776,            0.050499,          0.00086981,          0.00086981,             0.09217
                  11,            0.081838,            0.033533,            0.051236,          0.00053202,             0.16575,          0.00075939,          0.00016336,             0.06861,            0.021842,            0.050383,          0.00094974,          0.00094974,             0.09145
                  12,            0.082595,            0.034378,            0.050856,          0.00042016,             0.15021,          0.00047867,          0.00010291,            0.068744,            0.021784,            0.050254,           0.0010297,           0.0010297,             0.09073
                  13,             0.08198,            0.033857,            0.050659,          0.00044545,             0.15825,          0.00045092,          9.4341e-05,            0.068801,            0.021785,            0.050149,           0.0011096,           0.0011096,             0.09001
                  14,            0.082196,            0.034428,            0.050372,          0.00045838,             0.16226,          0.00059815,          0.00011138,            0.068887,            0.021793,            0.050063,           0.0011895,           0.0011895,            0.089289
                  15,            0.081636,            0.034995,            0.050628,          0.00044803,             0.15825,          0.00050662,          9.8198e-05,            0.068891,            0.021807,             0.04998,           0.0012694,           0.0012694,            0.088569
                  16,            0.080675,             0.03261,            0.050217,          0.00048413,             0.17121,          0.00048794,          9.8567e-05,            0.068325,            0.021871,              0.0499,           0.0013492,           0.0013492,            0.087849
                  17,            0.080319,            0.033803,            0.050421,           0.0034646,            0.002008,          0.00055867,          9.9343e-05,            0.068433,            0.021845,            0.049811,           0.0014291,           0.0014291,            0.087129
                  18,             0.08241,            0.035443,            0.050575,           0.0014076,             0.10253,          0.00090286,          0.00016716,            0.069465,            0.021727,              0.0498,           0.0015089,           0.0015089,            0.086409
                  19,            0.081375,            0.032841,            0.049554,           0.0014069,             0.14179,          0.00091733,          0.00016465,            0.085731,             0.01773,            0.054501,           0.0015887,           0.0015887,            0.085689
                  20,            0.079434,            0.032917,            0.050076,           0.0027778,            0.036747,           0.0013014,           0.0003398,            0.070051,            0.021575,            0.049767,           0.0016685,           0.0016685,            0.084969
                  21,            0.079919,            0.033189,             0.04968,           0.0021336,             0.12411,           0.0012165,           0.0002828,            0.071017,            0.021314,            0.049846,           0.0017483,           0.0017483,            0.084248
                  22,            0.079156,            0.034231,            0.049518,           0.0016299,              0.0177,          0.00078258,          0.00017032,            0.069262,            0.021664,            0.049249,            0.001828,            0.001828,            0.083528
                  23,            0.079721,            0.035418,            0.049812,           0.0020085,            0.050401,           0.0014665,          0.00027654,            0.069881,            0.021514,             0.04901,           0.0019078,           0.0019078,            0.082808
                  24,            0.078576,            0.033879,            0.049362,           0.0020993,            0.038025,           0.0013616,          0.00027361,             0.06822,            0.021719,            0.049069,           0.0019875,           0.0019875,            0.082087
                  25,            0.079895,            0.034993,            0.049275,            0.001626,            0.086266,           0.0014181,           0.0002678,            0.068939,            0.021629,             0.04891,           0.0020671,           0.0020671,            0.081367
                  26,            0.079846,            0.035282,            0.049339,           0.0025259,            0.078489,           0.0016677,          0.00036883,            0.071246,            0.021118,            0.049225,           0.0021468,           0.0021468,            0.080647
                  27,            0.079786,             0.03442,            0.048831,           0.0039346,             0.10071,           0.0022223,          0.00047492,            0.070466,            0.021343,            0.048982,           0.0022264,           0.0022264,            0.079926
                  28,            0.078601,            0.035403,            0.048902,           0.0029623,            0.015888,           0.0019239,          0.00033044,            0.068112,            0.021876,            0.048355,            0.002306,            0.002306,            0.079206
                  29,            0.078616,            0.034621,            0.048646,           0.0016309,           0.0080321,           0.0011706,          0.00025476,            0.068383,            0.021918,            0.048175,           0.0023855,           0.0023855,            0.078486
                  30,            0.078878,            0.033209,            0.048481,           0.0027452,            0.021092,           0.0018787,          0.00032272,            0.067475,            0.022089,            0.048342,           0.0024651,           0.0024651,            0.077765
                  31,            0.078037,            0.033637,            0.047916,           0.0027309,            0.058975,           0.0015499,          0.00031812,            0.066118,            0.022346,            0.048161,           0.0025446,           0.0025446,            0.077045
                  32,            0.077836,            0.031405,            0.047305,           0.0046449,            0.056791,           0.0019736,          0.00039396,            0.065649,            0.022458,            0.047801,            0.002624,            0.002624,            0.076324
                  33,            0.077009,            0.035689,            0.048237,           0.0024579,            0.091402,           0.0021171,          0.00041475,            0.070004,            0.021376,            0.046959,           0.0027035,           0.0027035,            0.075603
                  34,            0.077527,            0.032792,            0.047595,           0.0066989,             0.10287,           0.0038155,          0.00063753,             0.06422,            0.022694,            0.046149,           0.0027828,           0.0027828,            0.074883
                  35,            0.074299,            0.033926,            0.047223,           0.0051226,            0.088584,           0.0043488,          0.00087508,            0.063212,            0.022832,            0.045448,           0.0028622,           0.0028622,            0.074162
                  36,            0.074722,            0.034849,            0.046252,            0.005688,             0.08671,           0.0063265,           0.0011965,             0.06273,            0.022911,            0.044835,           0.0029415,           0.0029415,            0.073442
                  37,            0.072794,            0.034953,            0.045965,           0.0086075,            0.042929,           0.0081067,           0.0016819,            0.062791,            0.022767,            0.044498,           0.0030208,           0.0030208,            0.072721
                  38,            0.072693,            0.033641,            0.045918,            0.015595,            0.068182,            0.016449,           0.0042749,            0.069154,            0.021003,            0.043407,              0.0031,              0.0031,               0.072
                  39,            0.074464,             0.03395,            0.045551,            0.033608,            0.074547,             0.01859,           0.0037939,            0.072335,             0.02013,            0.044585,           0.0031792,           0.0031792,            0.071279
                  40,            0.072565,            0.035423,            0.044716,             0.35442,            0.060606,            0.024453,           0.0057443,            0.063747,            0.021834,            0.042382,           0.0032584,           0.0032584,            0.070558
                  41,            0.072001,            0.036456,            0.043894,             0.86766,            0.063131,            0.036614,           0.0070757,            0.063137,            0.022186,             0.04161,           0.0033375,           0.0033375,            0.069838
                  42,            0.070805,            0.038213,            0.043678,             0.69534,            0.045455,            0.031094,           0.0067115,            0.062879,            0.022148,            0.040568,           0.0034166,           0.0034166,            0.069117
                  43,            0.070455,            0.036972,             0.04238,             0.19533,            0.080808,            0.036374,           0.0070431,            0.060864,            0.022624,            0.040299,           0.0034956,           0.0034956,            0.068396
                  44,            0.068662,            0.036271,            0.042702,             0.20307,             0.11061,            0.038002,            0.008302,            0.060646,            0.022969,            0.040206,           0.0035746,           0.0035746,            0.067675
                  45,            0.069255,            0.038846,            0.042089,              0.1993,             0.16616,            0.041998,           0.0085189,              0.0598,            0.022655,            0.038932,           0.0036535,           0.0036535,            0.066954
                  46,            0.067884,            0.034378,            0.041574,             0.21738,            0.083838,            0.039878,           0.0096107,            0.058642,             0.02336,            0.039316,           0.0037324,           0.0037324,            0.066232
                  47,            0.069295,            0.034314,            0.041343,             0.37215,            0.094949,            0.040664,           0.0094863,            0.056972,            0.023322,            0.037595,           0.0038112,           0.0038112,            0.065511
                  48,            0.067604,            0.036465,            0.040293,            0.044215,             0.15455,            0.035028,           0.0076163,            0.073078,            0.019996,            0.039296,             0.00389,             0.00389,             0.06479
                  49,            0.065905,            0.034594,            0.039664,             0.38687,              0.1197,            0.052798,            0.010839,            0.056817,            0.023198,             0.03712,           0.0039688,           0.0039688,            0.064069
                  50,            0.064467,            0.037417,            0.039226,             0.41049,             0.10909,            0.085669,            0.024131,            0.056984,            0.023129,             0.03621,           0.0040475,           0.0040475,            0.063347
                  51,            0.063196,            0.035742,            0.037601,             0.40109,            0.089367,            0.068157,            0.016306,            0.056709,            0.023106,            0.036924,           0.0041261,           0.0041261,            0.062626
                  52,            0.064473,            0.039215,            0.038229,             0.58574,             0.14109,            0.085868,            0.021618,            0.056549,            0.023365,            0.035734,           0.0042047,           0.0042047,            0.061905
                  53,            0.062244,            0.037097,            0.036917,             0.72263,            0.092753,             0.06892,            0.017421,            0.056561,            0.023221,            0.034884,           0.0042832,           0.0042832,            0.061183
                  54,            0.062729,             0.03569,            0.035575,             0.76848,             0.12646,             0.11765,             0.03522,            0.055021,            0.023478,            0.036027,           0.0043616,           0.0043616,            0.060462
                  55,            0.062684,            0.035136,            0.036682,            0.084285,             0.39953,            0.096395,            0.028886,            0.055611,            0.023274,            0.036503,             0.00444,             0.00444,             0.05974
                  56,              0.0608,            0.036978,             0.03588,            0.064683,             0.44964,             0.09946,            0.032227,            0.052841,            0.023781,            0.033303,           0.0045184,           0.0045184,            0.059018
                  57,            0.059374,              0.0365,            0.034299,             0.07991,             0.32327,            0.082526,            0.023205,            0.058553,            0.023811,            0.036934,           0.0045967,           0.0045967,            0.058297
                  58,            0.059866,            0.036231,            0.033943,               0.593,             0.21734,             0.11422,            0.036904,            0.050537,            0.023385,            0.031916,           0.0046749,           0.0046749,            0.057575
                  59,            0.057792,            0.036222,            0.032512,             0.13593,             0.32885,              0.1248,            0.039533,            0.053549,            0.022162,            0.031938,           0.0047531,           0.0047531,            0.056853
                  60,            0.057624,            0.033661,            0.032065,              0.4472,             0.12316,             0.11487,            0.038936,            0.059872,            0.021396,            0.032833,           0.0048312,           0.0048312,            0.056131
                  61,             0.05899,            0.037028,            0.033408,             0.06117,             0.26512,            0.073928,            0.023854,             0.05568,            0.022847,            0.041384,           0.0049092,           0.0049092,            0.055409
                  62,             0.05848,            0.036633,            0.032025,             0.10967,             0.35353,            0.090661,            0.026815,            0.054648,            0.025079,            0.035698,           0.0049872,           0.0049872,            0.054687
                  63,            0.059402,            0.030698,            0.030719,             0.34202,             0.43174,             0.21563,            0.075983,            0.051761,            0.021158,            0.026884,           0.0050651,           0.0050651,            0.053965
                  64,            0.058846,            0.032335,            0.029383,             0.19207,             0.31331,             0.18984,            0.071659,            0.054585,            0.021436,            0.026781,            0.005143,            0.005143,            0.053243
                  65,            0.057297,            0.031644,            0.029602,             0.11608,             0.50746,             0.18493,            0.066813,            0.053873,            0.021241,            0.027102,           0.0052207,           0.0052207,            0.052521
                  66,            0.060205,            0.031165,            0.031531,            0.094269,             0.29865,              0.1178,            0.041145,            0.061499,             0.02049,            0.028582,           0.0052984,           0.0052984,            0.051798
                  67,            0.057934,            0.029597,            0.028906,             0.63667,             0.12657,             0.17462,            0.052347,            0.053403,            0.021383,            0.028322,           0.0053761,           0.0053761,            0.051076
                  68,            0.056831,            0.033441,            0.028424,             0.19727,             0.36101,             0.19214,            0.067381,            0.049846,            0.020641,            0.028919,           0.0054536,           0.0054536,            0.050354
                  69,             0.05726,            0.032631,            0.027415,             0.16051,             0.35888,             0.15795,            0.046669,            0.052806,            0.020301,            0.026546,           0.0055311,           0.0055311,            0.049631
                  70,            0.057484,            0.032208,            0.029219,             0.13189,             0.32276,             0.16072,            0.054762,            0.049298,            0.020466,             0.03102,           0.0056086,           0.0056086,            0.048909
                  71,            0.058679,            0.030821,             0.02709,             0.20664,             0.38845,             0.20478,            0.074792,            0.050302,            0.022015,            0.027898,           0.0056859,           0.0056859,            0.048186
                  72,            0.052751,             0.03188,            0.026588,             0.34204,             0.24372,             0.19564,            0.068551,            0.049192,            0.022077,            0.031731,           0.0057632,           0.0057632,            0.047463
                  73,            0.055356,            0.031461,            0.026405,             0.17432,              0.3652,              0.2088,            0.083002,            0.050493,             0.02187,            0.030323,           0.0058404,           0.0058404,             0.04674
                  74,            0.058232,            0.031424,            0.026539,             0.45943,             0.22672,               0.109,            0.037138,            0.057355,            0.021137,            0.038299,           0.0059175,           0.0059175,            0.046017
                  75,             0.05226,            0.034929,            0.026007,            0.085218,             0.21051,             0.12746,            0.042511,            0.055961,            0.022578,            0.033378,           0.0059945,           0.0059945,            0.045295
                  76,            0.053425,            0.030786,            0.026138,             0.15248,             0.16047,             0.15616,             0.05818,            0.054255,            0.021235,            0.026386,           0.0060715,           0.0060715,            0.044571
                  77,            0.053152,            0.030016,            0.025175,             0.10728,             0.22343,            0.090449,              0.0326,            0.050984,            0.021541,            0.031139,           0.0061484,           0.0061484,            0.043848
                  78,            0.052898,            0.030569,            0.024692,             0.22256,             0.31747,             0.24132,            0.097203,            0.046984,            0.019795,            0.024378,           0.0062252,           0.0062252,            0.043125
                  79,            0.053067,             0.02864,            0.025545,             0.32316,             0.31366,             0.15529,            0.063419,            0.046878,            0.024727,            0.035092,           0.0063019,           0.0063019,            0.042402
                  80,            0.053476,            0.030196,            0.023904,             0.26022,             0.42115,             0.30628,              0.1233,            0.046834,             0.02132,            0.023849,           0.0063785,           0.0063785,            0.041679
                  81,            0.050914,            0.030977,            0.024146,             0.22875,             0.34578,             0.21405,             0.08465,            0.050179,            0.020352,            0.027077,           0.0064551,           0.0064551,            0.040955
                  82,            0.053048,            0.029623,            0.024633,             0.17989,             0.45307,             0.26632,             0.11434,             0.05006,            0.019697,            0.026103,           0.0065315,           0.0065315,            0.040232
                  83,            0.050757,            0.028617,            0.023038,             0.19249,             0.34557,             0.19263,            0.078192,            0.046844,            0.020901,            0.028106,           0.0066079,           0.0066079,            0.039508
                  84,            0.052861,               0.029,            0.023069,             0.20806,              0.4827,             0.28728,            0.098066,            0.049195,            0.019677,            0.024299,           0.0066842,           0.0066842,            0.038784
                  85,            0.050133,            0.029378,            0.023268,              0.3302,             0.22775,             0.20167,             0.07233,            0.057696,            0.023257,            0.027704,           0.0067604,           0.0067604,             0.03806
                  86,            0.051304,            0.028834,            0.023572,             0.10357,             0.40083,              0.1799,            0.052935,            0.050408,            0.025737,            0.032364,           0.0068365,           0.0068365,            0.037337
                  87,            0.049835,            0.027896,            0.023061,             0.24493,             0.39463,             0.26092,            0.091686,            0.054427,             0.01911,            0.025656,           0.0069126,           0.0069126,            0.036613
                  88,             0.05057,            0.028769,            0.022253,             0.15002,             0.33551,              0.1842,            0.062447,            0.049305,            0.022861,            0.042735,           0.0069885,           0.0069885,            0.035889
                  89,            0.050244,            0.029466,            0.022345,             0.23858,             0.41602,             0.24083,            0.089507,            0.047072,             0.02085,            0.033909,           0.0070644,           0.0070644,            0.035164
                  90,            0.051933,            0.028951,             0.02129,             0.28208,             0.50375,             0.36081,             0.14248,            0.044709,            0.018462,            0.027486,           0.0071401,           0.0071401,             0.03444
                  91,            0.048816,            0.027649,            0.022371,              0.2558,             0.44464,             0.29489,             0.12578,            0.048453,            0.018719,              0.0258,           0.0072158,           0.0072158,            0.033716
                  92,              0.0501,            0.029633,            0.020547,             0.18918,              0.4451,              0.1587,            0.056955,            0.049443,            0.032637,            0.026826,           0.0072913,           0.0072913,            0.032991
