               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.012438,           0.0090098,          0.00067775,             0.61124,             0.65002,             0.62642,             0.39877,            0.030194,            0.020035,            0.011076,               7e-05,               7e-05,             0.09937
                   1,             0.01332,            0.009249,           0.0004843,             0.55141,             0.72085,             0.62625,             0.39729,            0.030109,            0.020105,            0.011108,             0.00015,             0.00015,             0.09865
                   2,            0.013426,            0.008941,          0.00095344,             0.60135,             0.66845,             0.63051,             0.39901,            0.030025,            0.020132,            0.011074,             0.00023,             0.00023,             0.09793
                   3,            0.013209,           0.0095741,          0.00051068,             0.60906,             0.65419,             0.62778,             0.39445,            0.030175,            0.020216,            0.011046,             0.00031,             0.00031,             0.09721
                   4,            0.012986,           0.0089205,          0.00067528,             0.56761,             0.70029,             0.62817,              0.3923,             0.03038,            0.020303,             0.01104,          0.00038999,          0.00038999,             0.09649
                   5,            0.012737,           0.0089786,          0.00056703,             0.57273,             0.68555,             0.62253,             0.39565,            0.030238,            0.020448,            0.011022,          0.00046999,          0.00046999,             0.09577
                   6,            0.013671,           0.0088506,          0.00086757,             0.53317,             0.73945,             0.62197,             0.39178,            0.030372,            0.020534,            0.011112,          0.00054998,          0.00054998,             0.09505
                   7,            0.012467,           0.0087412,          0.00043146,             0.54126,             0.74042,             0.62327,             0.38869,            0.030504,            0.020659,            0.011064,          0.00062997,          0.00062997,             0.09433
                   8,            0.012453,           0.0087297,          0.00075672,             0.53865,             0.72969,             0.62381,             0.39165,            0.030512,            0.020697,            0.011026,          0.00070996,          0.00070996,             0.09361
                   9,            0.012624,           0.0081936,          0.00048574,             0.54278,             0.72564,             0.61933,             0.38479,            0.030874,            0.020924,            0.011074,          0.00078994,          0.00078994,             0.09289
                  10,            0.013239,           0.0093403,          0.00080787,             0.53369,             0.73942,             0.61846,             0.38524,            0.030778,            0.020945,            0.011102,          0.00086992,          0.00086992,             0.09217
                  11,            0.013187,           0.0090801,          0.00095693,             0.53738,             0.74181,             0.61555,              0.3874,            0.030779,            0.021169,            0.011177,           0.0009499,           0.0009499,             0.09145
                  12,            0.013512,           0.0094224,          0.00047827,             0.56726,             0.66065,             0.61114,             0.38492,            0.030615,            0.021515,            0.011188,           0.0010299,           0.0010299,             0.09073
                  13,            0.012276,           0.0092175,          0.00075097,             0.56492,             0.66186,             0.60984,             0.38768,            0.030461,            0.021469,            0.011203,           0.0011098,           0.0011098,             0.09001
                  14,            0.012579,           0.0094506,          0.00065151,             0.53254,             0.73008,             0.61535,             0.38702,            0.030623,            0.021274,            0.011186,           0.0011898,           0.0011898,             0.08929
                  15,            0.012245,           0.0093993,          0.00044952,             0.53854,             0.73002,             0.61732,             0.39318,            0.030203,            0.020983,            0.011168,           0.0012698,           0.0012698,             0.08857
                  16,            0.012823,           0.0084599,          0.00053702,             0.58362,             0.66503,             0.61752,              0.3898,            0.030472,            0.021075,            0.010937,           0.0013497,           0.0013497,             0.08785
                  17,             0.01259,           0.0085821,          0.00059133,             0.55213,             0.72697,             0.61937,             0.39487,            0.030191,            0.020839,             0.01106,           0.0014296,           0.0014296,             0.08713
                  18,            0.013047,           0.0094753,          0.00055969,             0.54076,             0.71679,              0.6154,             0.38844,            0.030787,            0.020771,            0.011241,           0.0015096,           0.0015096,             0.08641
                  19,            0.013677,           0.0090272,          0.00064636,             0.55871,             0.69895,             0.61743,              0.3884,            0.030789,            0.020528,            0.011104,           0.0015895,           0.0015895,             0.08569
                  20,            0.012806,           0.0081321,           0.0005198,             0.54098,             0.70885,              0.6149,             0.38557,            0.030838,            0.020898,            0.011194,           0.0016694,           0.0016694,            0.084969
                  21,            0.012522,           0.0083635,          0.00050072,             0.53335,             0.68957,             0.60753,             0.38631,            0.030705,            0.021397,            0.011356,           0.0017493,           0.0017493,            0.084249
                  22,             0.01251,           0.0086328,           0.0007184,             0.55717,             0.67893,             0.60434,             0.38734,            0.030638,             0.02121,            0.011545,           0.0018292,           0.0018292,            0.083529
                  23,            0.012724,           0.0090904,          0.00054676,             0.56625,             0.68532,             0.60933,             0.38687,             0.03076,            0.020864,            0.011438,           0.0019091,           0.0019091,            0.082809
                  24,            0.013034,           0.0088243,          0.00061945,             0.55854,             0.68003,             0.60592,             0.38458,            0.030675,            0.021337,            0.011446,            0.001989,            0.001989,            0.082089
                  25,            0.012663,           0.0087027,          0.00070562,             0.53643,             0.70276,             0.60879,             0.38338,            0.030898,             0.02103,            0.011613,           0.0020689,           0.0020689,            0.081369
                  26,            0.012632,           0.0089018,          0.00050535,             0.50627,             0.73029,             0.60574,             0.38664,            0.030544,            0.021043,            0.011575,           0.0021487,           0.0021487,            0.080649
                  27,            0.012123,           0.0086734,           0.0004965,             0.53482,             0.68609,              0.5992,             0.37783,            0.030681,            0.021093,            0.011604,           0.0022286,           0.0022286,            0.079929
                  28,            0.013023,           0.0088726,          0.00076948,             0.52764,             0.69511,             0.60652,             0.37789,            0.031207,            0.021271,            0.011686,           0.0023084,           0.0023084,            0.079208
                  29,            0.013581,           0.0088445,          0.00082568,             0.51515,             0.69456,             0.60424,             0.37983,            0.030884,            0.021852,             0.01174,           0.0023883,           0.0023883,            0.078488
                  30,            0.012976,           0.0084314,          0.00037757,              0.5994,             0.61349,             0.60584,             0.38355,            0.030737,            0.021474,            0.011708,           0.0024681,           0.0024681,            0.077768
                  31,            0.012877,           0.0085849,          0.00065234,             0.53167,             0.66586,             0.59584,             0.37755,            0.030945,            0.022301,            0.011779,           0.0025479,           0.0025479,            0.077048
                  32,            0.013816,           0.0084708,          0.00085212,             0.54762,             0.65958,             0.59105,             0.37487,             0.03085,            0.022572,            0.011404,           0.0026277,           0.0026277,            0.076328
                  33,            0.013771,           0.0089916,          0.00073605,             0.58023,             0.62347,             0.59215,             0.37744,            0.030483,            0.021976,            0.010818,           0.0027074,           0.0027074,            0.075607
                  34,            0.013454,           0.0082279,          0.00044672,             0.54609,             0.66364,             0.58957,             0.37203,            0.030927,            0.022273,            0.010817,           0.0027872,           0.0027872,            0.074887
                  35,            0.012824,           0.0085007,          0.00046713,             0.61787,             0.61121,             0.60701,             0.38629,            0.030623,             0.02101,            0.010917,            0.002867,            0.002867,            0.074167
                  36,            0.013034,            0.008809,          0.00051166,             0.56456,             0.64585,             0.60241,             0.38036,            0.030423,            0.021243,            0.011204,           0.0029467,           0.0029467,            0.073447
                  37,            0.012412,           0.0082661,          0.00039043,             0.51135,             0.73573,             0.60011,              0.3789,            0.030687,            0.021106,            0.011509,           0.0030264,           0.0030264,            0.072726
                  38,            0.012959,           0.0080435,          0.00049998,             0.56594,             0.64025,             0.60015,             0.37842,             0.03105,            0.022091,            0.011711,           0.0031061,           0.0031061,            0.072006
                  39,            0.013191,           0.0084286,          0.00073655,             0.58304,             0.64389,             0.60117,             0.38033,            0.031031,            0.021585,            0.011384,           0.0031858,           0.0031858,            0.071286
                  40,            0.012598,           0.0084651,          0.00058189,             0.56015,             0.65834,             0.60088,             0.38047,            0.030693,            0.021067,             0.01124,           0.0032655,           0.0032655,            0.070565
                  41,            0.013743,           0.0091169,          0.00083272,             0.61209,             0.60255,             0.58972,              0.3752,            0.030836,             0.02127,            0.010918,           0.0033451,           0.0033451,            0.069845
                  42,            0.013315,           0.0089631,          0.00066826,              0.5251,             0.66965,             0.59212,             0.37473,            0.030545,            0.021244,            0.011025,           0.0034248,           0.0034248,            0.069125
                  43,            0.012993,           0.0088959,          0.00070534,             0.55407,             0.64138,             0.58542,             0.37388,            0.030672,            0.021766,            0.011053,           0.0035044,           0.0035044,            0.068404
                  44,            0.013521,           0.0087679,          0.00049173,             0.62058,             0.57821,             0.58934,             0.37817,            0.030676,            0.021581,            0.010749,            0.003584,            0.003584,            0.067684
                  45,            0.012198,           0.0090793,           0.0004428,             0.60701,             0.60035,             0.59301,               0.373,            0.030762,            0.021984,            0.011016,           0.0036636,           0.0036636,            0.066964
                  46,            0.013078,           0.0080244,            0.000771,              0.6532,             0.58479,             0.60636,             0.38035,            0.031019,            0.021313,            0.010512,           0.0037431,           0.0037431,            0.066243
                  47,            0.014135,            0.008406,          0.00072869,             0.55053,             0.68788,             0.59812,             0.37778,             0.03093,            0.021937,            0.010729,           0.0038227,           0.0038227,            0.065523
                  48,            0.013191,           0.0087046,          0.00062778,             0.57241,             0.64612,             0.59689,             0.37438,            0.031003,            0.021916,            0.010959,           0.0039022,           0.0039022,            0.064802
                  49,            0.013441,           0.0081881,          0.00056863,             0.63261,             0.59096,             0.59201,             0.38079,            0.030666,            0.021324,            0.011563,           0.0039817,           0.0039817,            0.064082
                  50,            0.013033,           0.0086041,           0.0005408,             0.58338,             0.65239,             0.60293,             0.37974,            0.030321,            0.020788,            0.010856,           0.0040612,           0.0040612,            0.063361
                  51,            0.013102,           0.0084815,          0.00043175,             0.59161,              0.6467,             0.60706,             0.38051,            0.030704,            0.020619,            0.011031,           0.0041406,           0.0041406,            0.062641
                  52,            0.013688,           0.0096134,          0.00051595,             0.60777,             0.63012,             0.60634,             0.38216,            0.030444,            0.020128,            0.011219,           0.0042201,           0.0042201,             0.06192
                  53,            0.012646,           0.0087476,          0.00037628,             0.59751,             0.61444,             0.59079,             0.38092,            0.030327,            0.021071,            0.011396,           0.0042995,           0.0042995,              0.0612
