               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.01025,           0.0070108,          0.00031105,             0.60891,             0.64206,             0.60582,             0.40364,            0.030271,            0.023612,             0.01209,               7e-05,               7e-05,             0.09937
                   1,            0.010859,           0.0069768,           0.0003232,             0.62352,             0.63483,             0.60442,             0.40097,            0.030311,            0.023774,            0.012088,             0.00015,             0.00015,             0.09865
                   2,            0.011047,           0.0070306,          0.00049557,              0.6054,             0.65239,             0.60198,             0.40067,            0.030372,            0.023861,            0.012095,             0.00023,             0.00023,             0.09793
                   3,            0.010724,           0.0076147,          0.00039094,             0.57672,             0.68296,             0.59824,             0.39628,            0.030238,            0.024071,            0.012171,          0.00030999,          0.00030999,             0.09721
                   4,            0.011384,           0.0069888,          0.00039003,             0.61154,             0.64522,             0.59664,             0.39366,            0.030269,            0.024192,            0.012188,          0.00038998,          0.00038998,             0.09649
                   5,            0.011163,           0.0071923,          0.00035954,             0.61611,             0.64568,              0.6007,             0.39438,            0.030273,            0.024323,            0.012137,          0.00046997,          0.00046997,             0.09577
                   6,            0.011266,           0.0068412,          0.00050222,             0.60757,             0.65065,             0.60086,             0.39106,            0.030529,            0.024476,            0.012219,          0.00054995,          0.00054995,             0.09505
                   7,            0.010695,           0.0070506,          0.00026671,             0.61551,             0.64129,             0.60163,             0.39053,            0.030427,            0.024625,            0.012285,          0.00062992,          0.00062992,             0.09433
                   8,             0.01041,           0.0067987,          0.00035064,             0.61392,              0.6438,             0.59964,             0.38923,            0.030695,            0.024584,            0.012269,          0.00070989,          0.00070989,             0.09361
                   9,            0.010623,           0.0065982,          0.00035885,             0.58073,             0.66599,             0.60044,             0.38969,            0.030666,            0.024602,             0.01216,          0.00078984,          0.00078984,             0.09289
                  10,            0.011788,           0.0076345,          0.00041101,             0.59327,             0.65093,             0.59886,             0.39399,            0.030661,            0.024513,            0.012184,          0.00086979,          0.00086979,             0.09217
                  11,            0.011141,           0.0073394,          0.00071488,             0.62863,             0.63308,             0.59764,             0.39236,            0.030646,            0.024873,            0.012373,          0.00094972,          0.00094972,             0.09145
                  12,            0.011797,           0.0077241,           0.0002866,             0.57703,             0.67684,             0.59646,              0.3927,             0.03058,            0.025018,            0.012484,           0.0010296,           0.0010296,             0.09073
                  13,            0.010556,           0.0072807,          0.00050822,             0.61596,             0.63763,             0.59462,             0.39444,            0.030241,            0.024909,            0.012687,           0.0011095,           0.0011095,             0.09001
                  14,            0.010475,           0.0074397,          0.00049009,             0.59417,             0.66735,             0.59403,             0.39312,            0.030476,            0.024962,            0.012625,           0.0011894,           0.0011894,            0.089289
                  15,            0.010464,           0.0076266,          0.00033561,             0.58778,             0.65406,             0.59784,              0.3976,            0.030468,            0.024906,            0.012752,           0.0012693,           0.0012693,            0.088569
                  16,            0.010882,           0.0066841,          0.00038187,             0.57063,             0.67314,             0.59607,             0.39568,            0.030369,            0.024687,            0.012602,           0.0013491,           0.0013491,            0.087849
                  17,            0.010478,           0.0068977,          0.00033252,             0.58131,             0.67032,             0.59957,             0.39719,              0.0302,            0.024803,            0.012809,            0.001429,            0.001429,            0.087129
                  18,            0.010683,           0.0075152,          0.00039913,                 0.6,              0.6445,             0.59705,             0.39381,            0.030438,            0.024669,            0.012736,           0.0015088,           0.0015088,            0.086409
                  19,            0.010908,           0.0069163,          0.00066286,             0.63836,             0.61193,             0.59297,             0.39291,            0.030487,            0.024769,            0.012604,           0.0015886,           0.0015886,            0.085689
                  20,            0.010279,           0.0064524,          0.00032818,             0.56898,             0.67291,             0.59326,             0.39485,            0.030269,            0.024715,              0.0126,           0.0016684,           0.0016684,            0.084968
                  21,             0.01035,           0.0065287,          0.00037323,              0.5767,             0.68499,             0.59532,             0.39487,            0.030266,            0.024698,            0.012776,           0.0017481,           0.0017481,            0.084248
                  22,             0.01027,           0.0067778,          0.00042925,             0.62712,             0.64438,             0.59803,             0.39652,            0.030105,            0.024709,            0.012821,           0.0018278,           0.0018278,            0.083528
                  23,            0.010642,           0.0073904,          0.00038253,             0.61827,              0.6563,             0.59846,              0.3918,            0.030324,            0.024438,            0.012804,           0.0019075,           0.0019075,            0.082808
                  24,            0.010603,            0.007033,          0.00051086,             0.62122,             0.64796,             0.58638,             0.38904,            0.030239,            0.025262,            0.013204,           0.0019872,           0.0019872,            0.082087
                  25,            0.010957,           0.0074873,          0.00061311,             0.58606,             0.65737,             0.58026,             0.38161,            0.030559,             0.02531,            0.013683,           0.0020668,           0.0020668,            0.081367
                  26,            0.010489,           0.0069499,          0.00046094,             0.62574,             0.62991,             0.58761,             0.38616,            0.030158,            0.024926,            0.013502,           0.0021464,           0.0021464,            0.080646
                  27,            0.010585,           0.0069297,          0.00030911,             0.58713,             0.65537,             0.58579,             0.38297,            0.030402,            0.025196,            0.013487,            0.002226,            0.002226,            0.079926
                  28,            0.011171,           0.0071389,          0.00045199,              0.5606,             0.66829,             0.58075,             0.38455,            0.030487,            0.025249,             0.01368,           0.0023055,           0.0023055,            0.079206
                  29,            0.010556,            0.006946,          0.00032501,             0.58914,             0.64937,             0.58044,             0.38363,             0.03048,            0.025357,            0.013422,           0.0023851,           0.0023851,            0.078485
                  30,            0.010562,           0.0066028,          0.00029646,             0.59733,             0.63985,             0.57537,             0.37874,            0.030534,            0.025795,            0.013267,           0.0024645,           0.0024645,            0.077765
                  31,            0.011299,           0.0070048,          0.00043192,             0.59196,             0.62487,             0.56961,              0.3787,             0.03059,            0.026401,            0.013004,            0.002544,            0.002544,            0.077044
                  32,            0.011222,           0.0066092,          0.00046429,             0.59257,             0.60465,             0.56447,             0.37363,            0.030713,            0.026551,            0.013005,           0.0026234,           0.0026234,            0.076323
                  33,            0.010867,           0.0068708,          0.00037981,             0.57896,             0.64555,             0.57459,              0.3836,            0.030286,            0.025801,            0.013317,           0.0027027,           0.0027027,            0.075603
                  34,            0.010977,            0.006413,          0.00038511,              0.5817,             0.62757,             0.57154,              0.3775,            0.030722,            0.026017,             0.01316,           0.0027821,           0.0027821,            0.074882
                  35,            0.010408,           0.0065233,          0.00026601,             0.58297,             0.64713,             0.57706,             0.37683,            0.030568,            0.025798,            0.013167,           0.0028614,           0.0028614,            0.074161
                  36,            0.011189,           0.0069995,           0.0003671,             0.57132,             0.63628,             0.56919,             0.37462,            0.030526,            0.025943,            0.013295,           0.0029406,           0.0029406,            0.073441
                  37,            0.010059,           0.0063306,          0.00026349,             0.55186,             0.65081,             0.57201,             0.37709,            0.030512,            0.025952,            0.013769,           0.0030198,           0.0030198,             0.07272
                  38,            0.010707,           0.0063202,          0.00035105,              0.5878,             0.63119,                0.57,             0.37608,            0.030471,            0.026119,            0.013725,            0.003099,            0.003099,            0.071999
                  39,            0.010772,             0.00658,          0.00039002,             0.65864,             0.58342,             0.57494,             0.38101,            0.030405,            0.025906,            0.013775,           0.0031781,           0.0031781,            0.071278
                  40,             0.01032,           0.0065631,           0.0002427,             0.57729,             0.64006,             0.58529,             0.38401,            0.030414,            0.025612,            0.014053,           0.0032571,           0.0032571,            0.070557
                  41,            0.010985,            0.007025,          0.00038323,             0.57746,             0.64364,             0.57214,             0.37539,            0.030469,            0.026238,            0.013689,           0.0033362,           0.0033362,            0.069836
                  42,            0.010979,           0.0070957,          0.00051589,             0.62965,             0.57905,             0.57217,             0.37722,            0.030469,            0.025402,             0.01331,           0.0034151,           0.0034151,            0.069115
                  43,            0.010587,           0.0069011,          0.00051707,             0.53905,             0.67547,             0.57483,             0.37406,            0.030609,            0.025183,            0.013043,           0.0034941,           0.0034941,            0.068394
                  44,            0.010889,           0.0067135,          0.00033868,             0.56414,             0.64956,              0.5765,              0.3813,            0.030217,            0.025195,            0.013208,           0.0035729,           0.0035729,            0.067673
                  45,           0.0098641,           0.0071482,          0.00025894,             0.58014,             0.62564,             0.56911,             0.37248,             0.03059,            0.025864,            0.013387,           0.0036517,           0.0036517,            0.066952
                  46,            0.010788,           0.0065467,          0.00045177,             0.57878,             0.61452,             0.55958,             0.36733,            0.030668,            0.025903,            0.013177,           0.0037305,           0.0037305,            0.066231
                  47,            0.011151,           0.0067918,          0.00048411,             0.51822,             0.70549,             0.57137,             0.37333,            0.030528,            0.026016,            0.012931,           0.0038092,           0.0038092,            0.065509
                  48,            0.010288,           0.0068203,          0.00040531,              0.5937,             0.60918,             0.56705,             0.36702,            0.030969,            0.026837,            0.012893,           0.0038879,           0.0038879,            0.064788
                  49,             0.01081,           0.0064904,          0.00048354,             0.55818,             0.65106,             0.56959,             0.37319,            0.030309,            0.026462,            0.013339,           0.0039665,           0.0039665,            0.064066
                  50,            0.010296,           0.0066532,          0.00040746,             0.59978,             0.63419,             0.56251,             0.36627,            0.030471,            0.025678,            0.012708,            0.004045,            0.004045,            0.063345
                  51,            0.010406,           0.0065053,          0.00028884,             0.58923,             0.64819,              0.5737,             0.37882,            0.030093,            0.024774,            0.012624,           0.0041235,           0.0041235,            0.062624
                  52,             0.01108,           0.0075561,          0.00038155,             0.56635,             0.65482,             0.57953,              0.3773,            0.030285,            0.024908,            0.012754,           0.0042019,           0.0042019,            0.061902
                  53,            0.010741,           0.0070189,          0.00028496,             0.62367,             0.59972,             0.58044,             0.38271,            0.030208,            0.025284,            0.013053,           0.0042803,           0.0042803,             0.06118
